"doc","language"
"Él se lastimó en el combate.","spa"
"Дивись, ось прибуває твій потяг.","ukr"
"Ça ne signifie pas que vous ne devriez pas être prudent.","fra"
"Bonanza hat nichts mit Bananen zu tun. Oder doch? Es ist eine berühmte Western-Serie.","deu"
"Isto pote resister qualcunque critica.","ina"
"Если станет скучно, пойду домой.","rus"
"フランス語も、さらにスペイン語も話せる。","jpn"
"Tom bir gizli tanık.","tur"
"Tavo draugas čia yra.","lit"
"Ik liet haar uitslapen.","nld"
"I lmend n tmeddurt ɣezzifen, yeččuṛen d tumert.","ber"
"Leyla'nın hiç enerjisi kalmadı.","tur"
"What's the name of the song that Tom and Mary were singing?","eng"
"He often gets sick.","eng"
"Mary is quite timid, isn't she?","eng"
"Yeteneğin olmadığı için vazgeçmemelisin.","tur"
"У осьминога мне нравится есть только щупальца.","rus"
"Кому и кобыла невеста.","rus"
"Tom yella iḥemmel-ikem.","ber"
"Мы должны быть абсолютно уверены.","rus"
".e'o ko jarco fi mi fe lo pluta be lo sorprekarcytcana","jbo"
"De oppdagelsesreisende fortsatte sin ferd.","nob"
"Olitko tietoinen tästä?","fin"
"Почему ты не пошёл на работу?","rus"
"O gato está bem?","por"
"予約購読料は今年末以前に全て払ってください。","jpn"
"Tomo estas malkaŝa.","epo"
"你们不累吗？","cmn"
"Tom şeytandır.","tur"
"O, iyi bir araba değil fakat o bir araba.","tur"
"Para as girafas, é muito difícil amarrar os sapatos.","por"
"Mi pensas, ke Tomo pliboniĝos.","epo"
"Io preferirei parlare in francese.","ita"
"Детей у меня нет.","rus"
"Том е единствениот што го знам што е вегетаријанец.","mkd"
"Tom megígérte, hogy a szokott helyen és időben találkozik Maryval.","hun"
"Mi ankoraŭ malsanas kaj hieraŭ mia kapo tiel doloris, ke mi eĉ ekploris.","epo"
"Utilisez-vous tous ces trucs ?","fra"
"I'm tired of being treated like a child.","eng"
"La vida es muy preciada para mí.","spa"
"Alister tötete Barbara.","deu"
"Dans cette robe, elle a l'air jolie.","fra"
"Non sono grasso.","ita"
"Our school is right across the river.","eng"
"Même s'ils ont une bonne carte des vins, je ne veux pas manger ici.","fra"
"Darò loro una mano.","ita"
"He has written five books so far.","eng"
"Open the door with care.","eng"
"आकाश उजळ व साफ होतं.","mar"
"Mi rigardis belajn tulipojn.","epo"
"Я хочу, чтобы ты молил о пощаде.","rus"
"Appelle la police.","fra"
"Dan ha fatto un po' di ricerche su Linda.","ita"
"Les arbres commencent à bourgeonner.","fra"
"El caracol se refugió en su caparazón.","spa"
"Дети в силу возраста не понимают этого.","rus"
"Saia do caminhão!","por"
"Основными проблемами рынка бензина являются отсутствие прозрачности и наличие монополий.","rus"
"Всё словно оцепенело от воскресной праздности и грусти, свойственной летним дням.","rus"
"Sinun pitäisi lopettaa romantiikkaromaanien lukeminen.","fin"
"Ele sentou-se no banco e começou a ler o livro.","por"
"Tom said he'll do that in a couple of days.","eng"
"Ça ne fait que descendre, à partir d'ici.","fra"
"Yakında çeşitli çiçekler çıkar.","tur"
"Cenoura faz bem à vista. Você já viu coelho de óculos?","por"
"他畫了一幅狗的畫。","cmn"
"Avete bevuto tre tazze di caffè.","ita"
"Tessaɣ ticemmaɛin-nni.","ber"
"Loro sono andati a Chicago in macchina.","ita"
"Ist euer Vater schon angekommen?","deu"
"Hala sinirli misin?","tur"
"Bana yalan söylememeliydin.","tur"
"Sie gab ihrer Freundin eine Ohrfeige.","deu"
"I wonder if we're really prepared to do that.","eng"
"jISawpu'.","tlh"
"I didn't know that Tom spoke French.","eng"
"Nasıl beni bu şekilde aşağılarsın?","tur"
"Quindi lo hanno ammazzato.","ita"
"Tom heeft de vraag juist beantwoord.","nld"
"Bugün benim günüm.","tur"
"You weren't even listening to Tom.","eng"
"O meu aniversário está próximo ao seu.","por"
"Eu posso reconhecê-lo pelo jeito que ele fala.","por"
"Ŝi iĝis pala.","epo"
"Ur telli teẓra d acu ara as-tini.","ber"
"Tu cucini veramente bene.","ita"
"Bana Mary'nin telefon numarasını veren kişi Tom değil.","tur"
"La vido de la Tero el la Luno estas unu el la ikonaj bildoj de la 20-a jarcento.","epo"
"Ich werde dir den Post schicken, den Tom gestern auf Facebook gepostet hat.","deu"
"Tominak egész gyűjteménye van baseball kártyákból.","hun"
"Tom is going to be OK, isn't he?","eng"
"Ich muss mit dieser Arbeit bis nächsten Dienstag fertig sein.","deu"
"Sto pensando di andare in Germania per studiare medicina.","ita"
"Bu kesinlikle aramızdadır.","tur"
"Ne ĉiu kreskaĵo estas manĝebla.","epo"
"Tom Mary'ye eve gitmesini söyledi.","tur"
"Je me suis senti idiot.","fra"
"Том детектив.","ukr"
"Bizim değerlerimiz aynı değil.","tur"
"أريد أن أنام الآن.","ara"
"मी वेळ वाचवण्यासाठी संगणक वापरला.","mar"
"Mary beş yaşından beri dans etmektedir.","tur"
"I don't think Tom was early.","eng"
"Мені якось неспокійно через здавання крові.","ukr"
"Да ли је ружа расцветала?","srp"
"Ние сме совесни.","mkd"
"Mi opinias, ke tio, kion vi faras, estas danĝera.","epo"
"तिच्या मैत्रिणींने ते नाव तिच्या गळ्यात लटकवलं.","mar"
"Се обидував да му помогнам.","mkd"
"Che cosa succede in questa stanza?","ita"
"Што значи тоа на арапски?","mkd"
"Он умер у Вас на руках.","rus"
"Tomilla on huono muisti.","fin"
"O que poderia ser?","por"
"Занятия в школе начинаются на следующей неделе.","rus"
"Tohle s vámi nemá co dělat.","ces"
"אני לא יודעת מתי טום יעזוב את יפן.","heb"
"D yiwet n tegzemt m snat n tigawin.","kab"
"Vergiss bitte nicht, den Brief abzuschicken.","deu"
"Controlliamo con lei.","ita"
"Мені цікаво, чи Том дальтонік, чи ні.","ukr"
"Per cosa userai quest'auto?","ita"
"Parece que las cosas andan bien.","spa"
"Она заставила меня продать собаку.","rus"
"Tom me perguntou o que eu queria.","por"
"Нам треба зараз битися з Томом.","ukr"
"Nicht jeder Bürger Russlands ist ein Russe.","deu"
"Man kann das Leben schwerlich zu leicht nehmen, aber leicht zu schwer.","deu"
"Slysin gerast.","isl"
"I wish I had a son like that.","eng"
"Tu mochila está sobre mi escritorio.","spa"
"¡Estoy muy feliz de verte!","spa"
"Ŝi amegis poezion.","epo"
"Certe li ne venos.","epo"
"Noi non siamo venuti a Boston lo scorso Natale.","ita"
"Non hai paura di partorire, Mary?","ita"
"I think that Tom isn't going to do that.","eng"
"Weißt du, wo Tom ist?","deu"
"Ĉi tio denove pruvas, ke mi pravas.","epo"
"השמיים התכסו עננים בהדרגה.","heb"
"Sami gerçek bir günah çıkarma yaptı.","tur"
"Sami voleva il denaro.","ita"
"Tom doesn't want to go.","eng"
"Mary pretended that she didn't know the answer.","eng"
"Делай, что я говорю.","rus"
"Do you have an idea what it would've meant to Tom?","eng"
"Kian manĝaĵon vi havas hodiaŭ?","epo"
"Tomo taŭgas nek por studo, nek por ludo.","epo"
"Quem cava sob outrem, ele mesmo cairá no fosso.","por"
"Tom is the black sheep of the family.","eng"
"Об этом упоминалось.","rus"
"Nie podobają mi się tamte buty.","pol"
"Пока всё нормально.","rus"
"I'll see that it doesn't happen again.","eng"
"Ur d-qqaret ara ayen ur nettemɣay!","kab"
"This is probably the key that Tom and Mary are looking for.","eng"
"Bis zum Sommer ist es noch lange hin.","deu"
"Io vorrei che tutti andassero a casa.","ita"
"Tom her pazartesi işe arabayla gider.","tur"
"Tom suggested that we travel together.","eng"
"Скажите ему, чтобы оставил меня в покое.","rus"
"La infano estis tre malfacile manipulebla.","epo"
"その子はデパートに母親と一緒に行くといってきかなかった。","jpn"
"When I was in Boston, I used to eat out at least once a week.","eng"
"Dan was a part-time student who also worked for a local pizza parlor.","eng"
"Tom n'a pas compris la question.","fra"
"Miniröck kaamt wedder in Mood.","nds"
"Ur ḥekku i yiwen ɣef uɣawas-nteɣ.","ber"
"Tom pode explicar a situação.","por"
"你怎么敢笑我？","cmn"
"Няма да мога да пренеса Том по моста.","bul"
"Je ne les aime pas.","fra"
"Ela lhe fez uma massagem.","por"
"Hallå, är det nån där?","swe"
"Tú puedes también pasar por alto sus pecados y perdonarle.","spa"
"Ni iras al Romo por semajno.","epo"
"Замість того, щоб їсти справжню їжу, ми весь день харчувалися нездоровою їжею.","ukr"
"Perché non entrambe?","ita"
"Det er godt at du kom.","dan"
"桌上有一本書。","cmn"
"Двери все заперты?","rus"
"Ero quasi dentro!","ita"
"J'ai reconnu mon ancien prof de musique au cours de la soirée.","fra"
"Ŝi ne intencis ofendi vin.","epo"
"It isn't hard for everybody.","eng"
"Visatoje yra milijonai galaktikų.","lit"
"Hon har en hund.","swe"
"Jeg liker ikke filmer.","nob"
"Ez túl magas?","hun"
"ते त्याला ब्रूस म्हणतात.","mar"
"Если вы хотите выступить с речью на совещании, то должны поднять руку.","rus"
"Ötökkä vipelsi pitkin asiasta autuaan tietämättömän Tomin selkää.","fin"
"Tom hâlâ Mary'ye aşık gibi görünüyor.","tur"
"You looked like you were troubled.","eng"
"Erken bir aşamda tespit edilirse, kanserin tedavisi mümkündür.","tur"
"A mi hermano le gusta el café.","spa"
"Fate quello che è meglio per lei.","ita"
"Resumiendo en pocas palabras es tu culpa.","spa"
"La hodiaŭa vetero malbonas.","epo"
"Farei suas compras, limparei a casa e farei o jantar para você.","por"
"La monto Fuĵi estas kovrita de neĝo.","epo"
"Meu pai tem habilidade na pesca.","por"
"La Pennsylvania aveva una grande industria dell'acciaio.","ita"
"Wat gebeurt er op die school?","nld"
"Что это, глупость или измена?","rus"
"Brasil perdió a un gran artista.","spa"
"Sanırım Mary'nin benimle evlenmesini isteyeceğim.","tur"
"האם פלאס דה קלישי? זה לא קרוב.","heb"
"Are you seriously thinking about selling this on eBay?","eng"
"Der liebe Gott weiß alles! ""Die liebe Ehefrau weiß alles besser!""","deu"
"Meu computador tem que ser útil para alguma coisa.","por"
"Kan je je voorstellen wat voor soort leven ik heb?","nld"
"Таква верност не се купува.","mkd"
"あの絵画は印象派美術の傑作である。","jpn"
"Ze is blij met haar nieuwe jurk.","nld"
"לאדם יכולת רבה להתאים את עצמו לשינויים בסביבה.","heb"
"Minha prata é tão antiga quanto a lua; meu ouro tem a mesma idade do sol.","por"
"Моның белән ни эшләдең?","tat"
"I knew where to go.","eng"
"中国語を上手くしゃべれますか？","jpn"
"Við erum sammála um þetta mál.","isl"
"Bu metni yeniden yazmalısın.","tur"
"בקשתי מהמזכירה שלי לחפש לך את המידע הזה.","heb"
"Vergi ne kadar?","tur"
"Schowałem się pod stół.","pol"
"Мне надо тебе кое-что показать.","rus"
"У Тома боль в ушах.","rus"
"Het is Tom niet die schuld treft.","nld"
"ניסיתי לדבר אל הגיונו של תום.","heb"
"Mamy w Tokio wielu przyjaciół do odwiedzenia.","pol"
"Certainly he is independent of him.","eng"
"Ты хотел его убить?","rus"
"Etraftaki birçok kişi yüzünden o doğal olarak biraz sinirlendi.","tur"
"Tom took me to a restaurant where you can eat as much as you want for thirty dollars.","eng"
"Mi ŝatas trapikitajn enpanigitajn kolbasojn.","epo"
"Ти пошкодуєш про те, що робила це.","ukr"
"Tio ne signifas, ke ni ignoru la fontojn de tensioj. Fakte tio sugestas la malon: ni devas alfronti tiujn tensiojn.","epo"
"Я не понимаю их культуры.","rus"
"Tue es bitte für mich!","deu"
"Oldukça etkilendim.","tur"
"デイモンは私に郵便切手のアルバムを見せてくれた。","jpn"
"Я покупаю не две книги, а только одну.","rus"
"Tom était si heureux.","fra"
"Воопшто не ти се плашам.","mkd"
"Мне надо купить продуктов.","rus"
"On n'est point l'ami d'une femme lorsqu'on peut être son amant.","fra"
"Yunan heykelleri genellikle hep çıplaktır.","tur"
"Todo mundo veio, menos o Tom.","por"
"Esto tiene que ocurrir.","spa"
"Perché siete a letto?","ita"
"Tom'un nehre giderken bana verdiği nişan yüzüğünü attım.","tur"
"Tom deneyimli bir diş hekimi yardımcısıdır.","tur"
"Mary almost told Tom that she loved him.","eng"
"I think that Tom and Mary are going to be able to do that.","eng"
"Mi timas, ke la onidiro veras.","epo"
"Düzgün düşünmüyorsun.","tur"
"There's no chance of that happening today.","eng"
"Mi bezonas feriadi!","epo"
"Nous avons rendez-vous à midi.","fra"
"Abbiamo parlato con Tom.","ita"
"Multo da aĵoj estas riparenda.","epo"
"Buraya artık neden kimsenin gelmediğini çözemiyorum.","tur"
"Hän löysi työn.","fin"
"彼の息子さんは有名なピアニストになった。","jpn"
"Она всё видит в чёрном свете.","rus"
"Io quando posso vedervi?","ita"
"Sen üretken misin?","tur"
"Том летал.","rus"
"I didn't think you'd be that unlucky.","eng"
"Он оскорбил меня, обозвав ослом.","rus"
"Cela n'est-il pas romantique ?","fra"
"У мене невелике запаморочення.","ukr"
"Chiunque voglia seriamente aiutarci in chimica commenti che poi lo contatteremo noi.","ita"
"Loro attraversarono a nuoto il fiume.","ita"
"Onun saçı griye döndü.","tur"
"pIlbe'mo' tam, Qu' rInmoHlaHbe'.","tlh"
"Kristnasko proksimiĝis.","epo"
"Per me è il momento di andare.","ita"
"Mary is only doing what she has to do.","eng"
"Sie ist geweckt worden.","deu"
"Том е совесен.","mkd"
"He slipped out the back door.","eng"
"Wenngleich er so welterfahren ist, ist er noch sehr jung.","deu"
"Il numero dei reati aumenta.","ita"
"As cidades italianas de Veneza, Gênova e Pisa lideravam e controlavam o comércio europeu com o Oriente, que lhe propiciava altíssimos ganhos e despertava a cobiça de comerciantes de outras regiões, desejosos de participar igualmente de mercado tão lucrativo.","por"
"Tom bu sabah ölü bulundu.","tur"
"Тебя волнует, кто нам помогает?","rus"
"Я на него не злюсь.","rus"
"Wees een goede toehoorder.","nld"
"Том задавался тем же вопросом.","rus"
"Твои деца ли се тие?","mkd"
"İleri geri büyüdü.","tur"
"Tom sık sık dersten kaçıyor.","tur"
"Mi ja kapablas venki Tomon.","epo"
"Japan wanted to end any Russian threat to Korea.","eng"
"Non dimenticate di restituire il libro alla biblioteca.","ita"
"Ona nie umie pływać.","pol"
"有人发现一个老工人在车间修好机器。","cmn"
"Por esti interesa persono, vi nutru kaj ekzercu vian menson.","epo"
"Tom partiye katılmak istemiyor.","tur"
"Maria povas toleri tion.","epo"
"Vi diras la plej afablajn aferojn.","epo"
"Ni jam menciis Tomon.","epo"
"Мы не видели в лесу много оленей.","rus"
"A tanárom általában sok házi feladatot ad.","hun"
"Ĉu li vidas la ĉenon de via patro?","epo"
"Jugar cartas es un pasatiempo popular.","spa"
"Conoscevo una scorciatoia per arrivare a casa di Tom.","ita"
"Ze zullen een huis voor je bouwen.","nld"
"Se dice que Jesús levantó a un hombre de la muerte.","spa"
"La tuta klaso estis kvieta.","epo"
"Nous réglerons cela demain.","fra"
"Tutto ciò che voleva fare Tom era mangiare.","ita"
"Ŝi volontulis por helpi lin.","epo"
"Acele edin yoksa uçağınızı kaçıracaksınız?","tur"
"Ne maltrankvilu pri la rezultoj de la ekzameno.","epo"
"Како можат вака?","mkd"
"Mikor lesz pihenőnapod?","hun"
"Você não conhece as regras?","por"
"Li estas ege zorgema en sia laboro.","epo"
"Afeggag n tansa.","kab"
"La fotografo fotas.","epo"
"コーヒーを飲みますか。","jpn"
"קשה מאוד לנגן בסקסופון את הקונצ'רטו לבסון של ויוואלדי.","heb"
"Tom non era ricco.","ita"
"It is difficult to wake up on cold mornings.","eng"
"Der Angeklagte wurde zum Tode verurteilt.","deu"
"My cellphone beeps if the battery is running low.","eng"
"Jag far i natt.","swe"
"Tom geçen pazartesi onun üzerinde çalışıyordu.","tur"
"Tom non era la prima persona arrestata dalla polizia.","ita"
"Onun Nagano'da yaşaması gerekiyor. Tokyo İstasyonunda ne yapıyor?","tur"
"The newspaper supplies news.","eng"
"Yella wasmi ay tkeyyfeḍ?","ber"
"Onu her zaman cebimde taşırım.","tur"
"Ты знаешь, как делать чизкейк?","rus"
"Ɣret-iyi-d!","ber"
"Aktör popülaritesinin zirvesinde öldü.","tur"
"Gibt es einen Tennisplatz in der Nähe?","deu"
"Треба да си легнам.","mkd"
"Δεν έχουν παιδιά, απ' ότι ξέρω.","ell"
"Il a finalement approuvé notre plan.","fra"
"Onko hän malesialainen?","fin"
"あなたは自分自身の計画を実行すべきです。","jpn"
"Pli laŭte parolu, la aŭdkapablo de via avo ne estas tre bona.","epo"
"Mi ege ŝatas ruĝajn viandojn.","epo"
"Dove avete imparato a guidare?","ita"
"Não toque o console nem os acessórios conectados durante uma tempestade elétrica.","por"
"Mi dia la torcia.","ita"
"Това куче е мое.","bul"
"Cikkeɣ ẓran-iyi.","ber"
"Smíte kouřit v tamhletom pokoji, ale ne v tomto.","ces"
"Sakkin ad tesɛum idrimen yerna ad tfeṛḥem.","ber"
"Do you have some medicine good for a cold?","eng"
"Telliḍ tessenṭaḍeḍ inazalen deg weɣrab.","ber"
"Ho trovato il tuo berretto.","ita"
"Aprite la finestra.","ita"
"Tom says he doesn't think I should do that.","eng"
"У меня есть вода.","rus"
"Ben çok aptalım...Kendi anlamadığım şeyleri sana açıklamaya çalışıyorum.","tur"
"Том та Мері не змінять думки.","ukr"
"Öğretmen beni okumam, yazmam ve konuşmam için teşvik etti.","tur"
"¡Qué pelo tan feo!","spa"
"Det är fritt för fantasin.","swe"
"Jag stod en stund och tittade på avgasröret.","swe"
"Я заключила сделку.","rus"
"В списке нет моего имени.","rus"
"A lány annyira izgatott lett, hogy nekem kellett megnyugtatnom.","hun"
"Von meinen Freunden bist nur du gekommen.","deu"
"I know exactly how Tom feels.","eng"
"佢喺學校參加咗好多活動。","yue"
"Ĉu vi scias rajdi ĉevalon?","epo"
"I would have wanted to cross him off of the list.","eng"
"Préparez-vous à mourir !","fra"
"Ein Radschnellweg kann helfen, den Radverkehr zwischen Städten zu verbessern.","deu"
"Ты, я гляжу, уже видел это раньше.","rus"
"Ar trebui să nu pleci.","ron"
"Onunla konuşmak için Tom'un evine gittik, fakat evde değildi.","tur"
"Ora sono le tre del pomeriggio.","ita"
"Io ho corso fino alla stazione per non perdere il treno.","ita"
"Combien de filles y a-t-il sur cette image ?","fra"
"Tu hai una sorella gemella?","ita"
"Iam estis muzeo en la ĉirkaŭaĵo.","epo"
"Мислам дека сите треба да се обидат да се смират.","mkd"
"Я ни с кем никогда ни о чём не спорю.","rus"
"These are just crazy ideas.","eng"
"Tiu konstruaĵo kun la bruna tegmento estas preĝejo.","epo"
"The last time I saw Tom smile was last October.","eng"
"»Novian«, das schien ein guter Name für einen x-ten Esperanto-Abklatsch von höchstens zweitausend Sätzen zu sein.","deu"
"Kiderült, hogy helyes az előérzetem.","hun"
"Er rannte weg, als er den Polizisten sah.","deu"
"I have no feeling in my left leg.","eng"
"Hay que darse prisa.","spa"
"Yes?","eng"
"Nehéz elérni négyszeres nyereséget.","hun"
"Я увижусь с вами в Бостоне.","rus"
"This never happens.","eng"
"bong qaSpu'be'.","tlh"
"Том никогаш не го посетил Бостон.","mkd"
"You aren't really going to buy Tom's old tractor, are you?","eng"
"Per favore, traduca frase per frase su Tatoeba.","ita"
"Również martwię się Tomem.","pol"
"Tom mietiskeli, oliko Mari pelannut pelejä koko iltapäivän.","fin"
"Aš pamečiau piniginę pakeliui į mokyklą.","lit"
"Just one can of soft drink a day can significantly increase your chances of developing diabetes.","eng"
"Tom has changed a lot.","eng"
"او دست او را قاپید.","pes"
"Tom was happy and carefree.","eng"
"Sur la ĉielo ne estas du sunoj.","epo"
"Tom ira là-bas demain.","fra"
"Tom said he thought that you should do that.","eng"
"Ich schätze, es waren mindestens zwanzig Sorten Käse auf demTisch.","deu"
"We have just enough religion to make us hate, but not enough to make us love one another.","eng"
"Tell Tom to meet me here right away.","eng"
"היא ממש יפהפייה.","heb"
"Tom életében soha nem félt ennyire.","hun"
"Tom ha messo un piede su una formica e l'ha schiacciata.","ita"
"Biz akşam yemeğinden sonra kart oynadık.","tur"
"私は貯金を使い果たしてしまった。","jpn"
"Liaj romanoj aperis ankaŭ en la franca.","epo"
"Benim dersim iptal edildi.","tur"
"Mülteciler fiziksel ve duygusal olarak acı çekti.","tur"
"त्यांना मजा करायची होती.","mar"
"תישארי במיטה.","heb"
"Што ќе кажам?","mkd"
"Él no tiene tiempo libre para hacer deportes.","spa"
"Να τρώτε όχι μόνο ψάρι, αλλά και κρέας.","ell"
"Lei ama Tatoeba?","ita"
"We discovered a few problems today that we'd never noticed before.","eng"
"Ĉu vi havas daŭran koramikinon?","epo"
"Nós estejamos alegres, nós usemos bem a vida, pois a vida não é longa.","por"
"彼はその数字を合計した。","jpn"
"Tomo prezentis sin al ĉiuj.","epo"
"Tom si sentì umiliato.","ita"
"Мне скоро будет сорок восемь лет.","rus"
"Sie hatten andere Vorstellungen.","deu"
"माझ्या फेसबुक प्रोफाइलला भेट द्या.","mar"
"Ĉesu do!","epo"
"Ты чего на людей бросаешься?","rus"
"Kupiłem książkę o zwierzętach.","pol"
"Últimamente mi cuerpo no ha estado en muy buenas condiciones.","spa"
"Hän näyttää sairaalta.","fin"
"Niemand antwortete uns.","deu"
"Tom should have done that weeks ago.","eng"
"Tom yanında kimi getirdi?","tur"
"I will tell my parents that I want to leave by myself.","eng"
"Bizimle birlikte yemek yemek istememesinin sebebi bizden hoşlanmamasıdır.","tur"
"O João é desenhista.","por"
"هوا دیروز خیلی بد بود.","pes"
"C'est un peu compliqué.","fra"
"Ele falta à escola de vez em quando.","por"
"Я не думаю, что он будет знать, как делать эту работу.","rus"
"Senin nerede çalıştığını biliyorum.","tur"
"正午まで家にいなさい。","jpn"
"Nachdem wir zwei Stunden diskutiert hatten, wurden wir uns einig.","deu"
"I didn't know how to express myself.","eng"
"Pli bone estus pridemandi doktoron Tanaka.","epo"
"Niemand weiß, was in meinem Land geschieht.","deu"
"Ugar n ɛecrin n yiseggasen aya seg wasmi ay tt-ssneɣ.","ber"
"Li akompanos vin al la hospitalo.","epo"
"Don't you recognize me?","eng"
"Erkek kardeşim teniste iyidir.","tur"
"مدرسه ها در بهار شروع می شوند.","pes"
"Ég ætla að eyða vikunni í Kanazawa.","isl"
"La mamma non mi permette di farmi un piercing.","ita"
"יש לי אחד.","heb"
"Mary is an expert on the topic.","eng"
"Ĉu vi konscias celon de via vivo?","epo"
"The child was full of curiosity.","eng"
"Je veux apprendre à danser.","fra"
"Ne sıklıkta diş hekimine gidersin.","tur"
"Dokter memperingatkan padanya bahaya merokok.","ind"
"Naprawdę chcesz rzucić pracę?","pol"
"आपण लंडनला गेलो.","mar"
"Yaklaşık iki otuzda Kobe'ye vardım.","tur"
"把它弄小一點。","cmn"
"Grab him! Don't let him get away.","eng"
"Мы будем там через минуту.","rus"
"Мы поработаем над этим завтра.","rus"
"Zaten çok daha iyi hissediyorum.","tur"
"El auto se paró en medio de la carretera.","spa"
"Sie erhielt eine Abschlagszahlung.","deu"
"Es ist kein Geheimnis.","deu"
"He is testing certain assumptions.","eng"
"Tom'la zaman geçirmekten hoşlanıyorum.","tur"
"Tomo preparis sin, sciante, ke li baldaŭ devos batali kontraŭ Johano.","epo"
"Fadil konfesis esti doninta pafilon al Dania.","epo"
"Todos pularam na piscina.","por"
"Nous n'avons pas accueilli les invités.","fra"
"Ich möchte Tom fragen, was er meint.","deu"
"He oído todo lo que has dicho.","spa"
"Опасявам се, че в момента не може и дума да става за повишение.","bul"
"Lia kuraĝa ago indas medalon.","epo"
"Tomnak nem volt családja.","hun"
"Majd később. Bocs, de ez halaszthatatlan.","hun"
"Fiŝo volas naĝi.","epo"
"I'm not about to tell her that.","eng"
"Familie und Beruf sind zwei Seiten einer Medaille.","deu"
"I tessutred-as i Tom ad k-yenṣeḥ?","ber"
"Кој остана?","mkd"
"Противник атаковал нас.","rus"
"Li firme decidis trovi, kiu mortigis lian filinon.","epo"
"I'll pay you back next week.","eng"
"Tom non deve farlo ora.","ita"
"Konuşabilmemiz için seni buraya getirdim.","tur"
"The lights are now off.","eng"
"Isto é um heptágono.","por"
"Ką jūs, panelės, veikiate?","lit"
"Il est encore ici, si vous voulez profiter de le voir.","fra"
"רתחתי מכעס.","heb"
"Nia vivo estas nenio alia, ol konstanta servado.","epo"
"Солдат — анахронизм, от которого мы должны избавиться.","rus"
"多くの医者は診察の時にまず舌を調べる。","jpn"
"Lor avion Solar Impulse 2 partiva le 9 martio (2015) de Abu Dhabi, in le Emiratos Arabe, e faceva su prime halto 12 horas plus tarde in Muscat, Oman.","ina"
"أفضل دفاع هو الهجوم.","ara"
"Durch ihn wurde die Welt der Musik auf immerdar verändert.","deu"
"Ты с ними не знаком.","rus"
"Её сын в тюрьме.","rus"
"L'elettricità cambia il mondo, specie l'illuminazione elettrica delle città.","ita"
"Dieser Junge hat einen großen Traum.","deu"
"उद्या टॉम मेरीला देईल.","mar"
"Non sei stupido.","ita"
"He is used to getting up early.","eng"
"J'attends de voir si c'est vrai.","fra"
"بدآ سامي و ليلى يتغازلان و يمضيان وقتا معا.","ara"
"Yeḍfes tisefḍin-nni.","ber"
"Ur sɛiɣ ara tasarut.","ber"
"Tom ought to apologize.","eng"
"I didn't think that Tom would really do that.","eng"
"Sono ancora più vecchio.","ita"
"Siinä tapauksessa luulen, että sinun pitää tulla tänään.","fin"
"Czuję mdłości.","pol"
"Posso pegar seu número de telefone?","por"
"È stato imprigionato.","ita"
"Sadece geri uyumaya git.","tur"
"Ich ging zum Flughafen, um meinen Vater zu treffen.","deu"
"Том облизал губы.","rus"
"הפיל מוצא חן בעיניך.","heb"
"ona mute li jo e lawa wawa, li moku mute kin.","toki"
"У меня масса дел.","rus"
"What a team!","eng"
"Mi ne ŝatas aldoni la fotojn de Mary al mia albumo.","epo"
"Trust your intuition.","eng"
"Он безусловно лучший студент.","rus"
"Yeqqar‑i wul‑ikʷ lliɣ ssneɣ batta yettuɣ yetteǧǧ dani Tom.","ber"
"השעון שלי ממהר בחמש דקות.","heb"
"Kielégítő választ adtam?","hun"
"Persino Tom ha paura di Mary.","ita"
"Tom vuole solamente parlare con noi.","ita"
"Dovremmo prendere un tavolo?","ita"
"Он не хотел уходить.","rus"
"Edd meg az ételt!","hun"
"Voi siete favorevoli o contrari alla sua idea?","ita"
"Ella me llamaba Tom.","spa"
"Tom la d cṛa ul t‑yesbeddi.","ber"
"Tom is getting the boat ready.","eng"
"Tamsalt‑u tili ad ncemmeṛ nessers dys.","ber"
"Why don't we all leave at the same time?","eng"
"Tom'un tek yaptığı şikayet etmek.","tur"
"Tom hätte es ohne euch nicht gekonnt.","deu"
"Tom continuó trabajando a pesar de que estaba muy cansado.","spa"
"Tu as surpris tout le monde.","fra"
"Agora eu queria mesmo é descansar.","por"
"Я доехал на автобусе до Лондона.","rus"
"La vie est une longue maladie qui s'endort rarement et ne se guérit jamais.","fra"
"Mi ne havigas al vi vizojn.","epo"
"When asked what learning was the most necessary, he said, ""Not to unlearn what you have learned.""","eng"
"Onlara söylemezsen, ben söylerim.","tur"
"Nenio pli elrevigas ol malgajni en la finalo.","epo"
"I was impressed by his music.","eng"
"Loro sono troppo grassi.","ita"
"Taluft qerriḥet, isalli yesgugum imi, iẓri yeqquṛ, taɣect tebbuḥbeḥ, imi yekkaw.","kab"
"Libroj estas cerbidoj.","epo"
"بقي الباب مغلقًا طوال اليوم.","ara"
"Pénzt adott.","hun"
"Hij is verslaafd aan methamfetamine.","nld"
"Мене побили.","ukr"
"נשמעה צפירה, והאונייה החלה לצאת באיטיות מן הנמל.","heb"
"Neniam uzu la disponeblecon de tradukprogramoj kiel pretekston por tradukado el lingvo, kiun vi ne regas sufiĉe.","epo"
"Nudaɣ tasarut-nni deg leqjer.","ber"
"La aviadilo flugis orienten.","epo"
"Gerçekten bütün gece kaldın mı?","tur"
"I kicked the door in.","eng"
"I admitted I didn't want to do that anymore.","eng"
"Tom and Mary plan to sell their house.","eng"
"Babamı göremiyorum.","tur"
